,id,city,state_code,university_id,no_of_student_hostel,name,infrastructure_id,latitude,longitude,offers_scholarship
17599,1396,Bellary,29,249,4,"Rao Bahaddur Y Mahabaleshwarappa  Engineering College, BELLARY",181496,15.13854,76.91873198999998,1
17600,30286,VEERAPUNAYUNIPALLI,28,45,0,VRS Degree College,181497,25.24578,75.47851,1
17603,44658,Kolkata,19,569,4,Bejoy Narayan Mahavidyalaya,181500,23.0324115,88.3081365,1
17604,16617,CHENNAI,33,439,2,T.J. Institute of Technology,181502,12.91285,80.23491,1
17606,36238,Indore,23,287,0,"Shri Raojibhai Gokulbhai Patel Gujarati Professional Institute, Scheme No. 54, Near Bombey Hospital , Ab.B. Road, Indore - 452010",181504,22.755214,75.900384,1
17607,14247,Deoria,9,508,0,"Rajkeeya Mahavidyalay, Indupur, Gauri Bazar, Deoria",181505,26.500001,83.790001,0
17608,50106,HARDOI,9,505,0,"SRI NARAYAN SINGH MAHAVIDYALAYA, SHAHABAD",181507,23.55555,69.55467,0
17609,10372,Hoshiarpur,3,382,0,Guru nanak Institute of Engg. & Management,181509,31.41076,75.505601,1
17610,52494,DAVANAGERE,29,218,0,ANJUM FIRST GRADE COLLEGE,181510,14.466344,75.95384,0
17611,16625,Chennai,33,439,2,Dhanalakshmi Srinivasan College of Engineering and Technology,181512,37.23625,80.36256,1
17612,28859,NOIDA,9,506,0,"RAMA DEVI KANYA MAHAVIDYALAYA E-3, SECTOR-61, NOIDA, Ph. 2586310",181514,28.594041,77.371283,1
17615,5991,Mansa,24,136,1,Smt. Santokben Shantilal Mohanlal Patel B. Ed. College,181517,23.458647,72.723099,1
17616,29687,Indore,23,270,1,"Govt. Ashtang Ayurveda College, Indore",181519,23.250001,68.250001,1
17617,14474,UDAYARPALAYAM,33,483,2,Menakshi Ramasamy College of Education,181521,11.1581524,79.2757316,1
17619,40306,Bangalore,29,240,2,Banasawadi College of Nursing,181529,6.33332,73.88888,0
17620,22418,Tohana,6,160,0,"Aakash College of Education, Vill. Chanderkalan, Tohana",181537,29.64935,75.817805,0
17622,50937,Salem,33,481,2,"KAMALA COLLEGE OF NURSING, SALEM",181539,11.39001,78.12001,1
17623,14780,Kanchipuram,33,483,0,Kanchi College of Education,181541,12.50001,79.45001,1
17624,19538,"KODAD (M),",36,17,2,Anurag Engineering College,181545,17.039642,79.97757199999998,1
17626,35193,bhopal,23,269,0,"Swami Vivekanand Education College, Ratibad, Bhopal",181549,23.1804712,77.3113023,1
17628,50336,badwara,23,289,0,"GOVERNMENT COLLEGE, BADWARA",181552,23.836088,80.395463,1
17629,33078,Bilaspur,22,88,0,"Bhatkhande Sangeet Mahavidyalaya,Bilaspur-495001",181554,22.12567,73.32456,0
17630,11590,VAIKOM,32,262,0,"University College of Teacher Education, Government Girls High School Campus, Vaikom, Kottayam",181555,10.00012,76.40000999999998,0
17631,13412,Chandausi,9,525,0,"Model Public Education College, Chandausi",181557,28.27111,78.49111,0
17632,51595,Hanumangarh Town,8,406,1,Nehru Memorial Law P.G. College,181559,29.573009999999996,74.32801,0
17633,8362,"Dhakuana, Lakhimpur",18,51,2,"Harhi College P.O. Harhi, Dhakuakhana",181535,23.25001,75.25674999999998,1
17635,42854,Dharni,27,324,0,Shri Vasntro Naik Mahavidyalaya Dharani,181563,21.55001,76.89001,1
17636,14648,SIVAGANGA,33,483,1,S.Preethi B.Ed College of Education,181564,9.7167001,78.8167001,1
17639,40570,Bangalore,29,240,3,The Oxford College of Physiotherapy,181567,6.01234,78.01233999999998,1
17640,34738,GWALIOR,23,276,0,MAHARAJA INSTITUTE OF MANAGEMENT & TECHNOLOGY,181569,26.00125,78.00125,0
17642,36262,Bhopal,23,287,2,"Thakral College of Technology,  Thakral Nagar, Raisen Road, Bhopal 462021",181571,23.144701,77.307001,1
17643,8611,KOTTUR,29,603,0,"Tungabhadra B.P.Ed, College, Kottur - 583134",181572,14.816497,76.224531,1
17644,9606,Darbhanga,10,67,0,Veda,181574,26.17001,85.90000999999998,0
17645,48701,Ambah,23,276,2,"A D S NURSING COLLEGE, AMBAH",181577,26.70701,78.244431,1
17646,9643,Darbhanga,10,67,0,Darshan,181578,26.17001,85.90000999999998,0
17647,9365,Imphal,14,337,0,Trinity Teachers' Training College,181579,24.817011,93.936844,0
17648,15791,BARSHI,27,327,0,RAJASHI SHAHU EVENING LAW COLLEG BARSHI.413  411 DIST-SOLAPUR,181580,18.25001,75.00001,1
17649,9631,Darbhanga,10,67,0,Jyotish,181581,26.17001,85.90000999999998,0
17651,52165,Indore,23,270,0,"B.M. INST. OF PROF. STUDIES, INDORE",181588,22.586658,75.90366,0
17656,15609,Raipur,22,83,2,"Central Institute of Technology, Village Abhanpur",181594,21.087138,81.754289,0
17657,21661,Durg,22,93,0," Seth R. C. S. Arts & Commerce College, Durg",181596,21.1904494,81.2849169,1
17658,17345,Nagaon,18,52,0,Kaliabor College of Education,181598,26.560228,92.9425698,0
17659,21356,Balasore,21,354,2,Nilamani Mahavidyalaya,181599,21.50001,86.00001,0
17660,10804,ABMALA,6,164,2,ICL Institute of Architecture & Town Planning,181600,30.43511,77.03811,1
17662,20969,Bangalore Rural Dist,29,215,0,"Vijaya First Grade College, Shidlagatta deviation Road, Vijayapura-562 135, Devanahalli Taluk, Bangalore Rural Dist.,",181602,13.20001,71.20001000000002,1
17663,42398,NAWABGANJ,9,510,0,"T.R.C. LAW COLLEGE, BASUDEV NAGAR, SATRIKH, BARABANKI",181603,26.859361,81.195103,1
17664,13107,MERTA CITY,8,408,0,"Government College, Merta City",181606,26.65001,74.03333,1
17668,12264,FATEHPUR,9,505,0,"SRI RAM AUTAR SINGH MAHAVIDYALAYA, SESHPUR, UNWA,",181610,25.93001,80.80001,0
17671,49220,Gunderdehi,22,93,0,GOVERNMENT COLLEGE BELOUDI,181613,21.19001,81.28001,1
17673,16754,KOLKATA,19,102,3,IIFT KOLKATA,181626,22.5188102,88.41375739999998,1
17674,43070,Yavatmal,27,324,1,"Javaharlal Darda Institute of Engineering And Technology, Lohara,",181627,20.394906,78.086849,1
17676,36411,Tirupattur,33,488,4,Sacred Heart College(autonomous)Thirupattur-635 601,181629,17.3762806,78.2988487,1
17677,14351,SIDDHARTHNAGAR,9,508,0,"Late Gaukaran Singh Dinesh Mahavidyalaya, Chilihan, Siddharathnagar",181630,27.3915001,82.95770009999998,1
17678,51444,NAJIBABAD,9,525,1,"NORTH INDIA COLLEGE OF LAW, BIJNOR ",181631,29.61355,78.33852799999998,0
17679,14769,Jolarpettai,33,483,1,St. Josephs Womens College of Education,181632,12.562827,78.577708,1
17681,41645,Nashik,27,323,0,"Gokhale Education Societys Bhikusa Yamasa Kshatriya College of Commerce, Nashik 422005",181634,20.0061392,73.7623033,1
17682,16429,Kolkata,19,586,0,Institute of Genetic Medicine & Genomic Science,181635,22.690331,88.512353,0
17683,10532,Kurukshetra,6,164,2,University College of Education,181636,29.95776,76.81587,1
17684,17072,Oddanchatram,33,466,1,"Sakthi College of Arts and Science for Women, Oddanchatram",181637,10.4800001,77.7100001,1
17685,16525,Chennai-600 100,33,439,2,Jerusalem College of Engineering,181544,12.9377265,80.2153998,1
17686,45686,Trichy,33,481,1,"Dr.G.SAKUNTHALA COLLEGE OF NURSING (Inst. Code - 189), TIRUCHIRAPALLI",181638,30.500001,70.500001,1
17687,14607,Chennai,33,483,2,Jayalakshmi Narayanaswami College of Education,181639,12.11121,81.11215,1
17688,53284,KOLKATA,19,590,0,BISHNUPRIYA COLLEGE OF EDUCATION,181640,22.726156,88.47495999999998,0
17690,45685,Trichy,33,481,0,"KAMALAM VISWANATHAN COLLEGE OF PHYSIOTHERAPY (Inst. Code - 174), TIRUCHIRAPALLI",181644,30.5000001,70.5000001,1
17691,40185,BANGALORE,29,240,2,Sri Venkateshwara College of Nursing_Peenya,181645,18.23451,78.12534,0
17692,13162,Ajmer,8,408,0,Narayana Shikshak Prashikshan Mahavidyalaya,181648,26.270001,74.380001,1
17693,8455,Jorhat,18,51,1,C.K.B. Commerce College P.O. Jorhat-785001,181649,26.450001,94.10001,1
17694,45671,VADAKANGULAM,33,481,2,"S.A. RAJA PHARMACY COLLEGE  (Inst. Code - 099), VADAKANKULAM",181650,8.24854,77.60259,1
17695,8832,Chalisgaon,27,320,1,"130091-MFS&SVMS MAHATMA PHULE COLLEGE OF EDUCATION, CHALISGAON.",181651,20.330001,75.10000999999998,1
17698,14600,chennai,33,483,0,Sathyasai B.Ed. College,181654,13.09081,80.10849,1
17699,49862,ULUBERIA,19,570,0,GARHCHUMUK KOLIA TEACHERS' TRAINING COLLEGE,181655,22.348474,88.087693,1
17700,6329,Berhampore,19,592,1,"Govt. College of  Engineering and Textile Technology, Berhampur 111",181657,24.00001,88.00001,0
17701,6620,sagar,23,281,1,"Shri Ganesh Digembar Jain Sanskrit College, Varni Bhawan, Sagar",181658,23.333333,78.78787,0
17702,16354,Shillong,17,341,1,St. Mary's College,181659,25.56671,91.88331,1
17704,48248,Chennai,33,439,2,DA VINCI SCHOOL OF DESIGN AND ARCHITECTURE,181662,12.91285,80.23491,1
17705,52634,Sathyamangalam,33,447,2,Gandhi Arts and Science College,181664,11.42281,77.19325,0
17706,9571,Agartala,16,495,2,Women's College,181665,23.83475,91.28541,1
17709,6523,Puducherry,34,369,0,Indira Gandhi College of Arts   and Science,181670,11.93932,79.796374,1
17710,22244,Patiala,3,383,0,"University College, Ghanaur",181671,30.33333,76.61001,1
17711,45787,CoochBehar,19,787,0,"GHOKSADANGA BIRENDRA MAHAVIDYALAYA, COOCHBEHAR",181672,26.42678,89.35351,1
17712,47418,Bangalore,29,240,2,BANGALORE CITY COLLEGE OF NURSING,181667,12.96671,77.56671,0
17714,11711,Ernakulam,32,262,0,"Govt.College,Manimalakunnu,OliyapuramP.O.,Koothattukulam- 686679",181676,9.889265000000002,76.565573,1
17717,18919,Bhandara,27,332,1,"Arts Commerce College, Jawaharnagar",181681,21.14984,79.55102,1
17718,30191,Shimoga,29,231,2,"Veterinary College, Shimoga",181682,13.91622,75.56673,1
17719,9548,SALEM,33,470,1,Salem Sowdeswari College,181683,11.65001,78.13001,1
17720,25051,TRICHIRAPPALLI,33,439,2,Shri Angalamman College of Engineering and Technology,181685,10.98917,78.78091,0
17721,26911,Kadapa,28,16,0,Vasavi Institute of Management & Computer Sciences,181686,14.11111,78.11110999999998,1
17722,32863,New Delhi,7,99,1,Bharati Vidyapeeth's College of Engineering,181690,28.676252,77.12952699999998,1
17723,9730,AMBIKAPUR,22,95,0,"Sarawati College, Subhash Nagar, Ambikapur",181691,23.117161,83.196664,1
17724,31054,LUDHIANA,3,78,1,"Malwa Central College of Education for Women, Ludhiana",181692,30.56001,75.52001,1
17725,15708,SOLAPUR,27,327,2,HIRACHAND NEMCHAND COLLEGE OF COMMERCE ASHOK CHOWK SOLAPUR DIST.SOLAPUR,181693,17.663375,75.921181,0
17728,14857,Udayarpalayam (Tk),33,483,0,Merit College of Education,181697,11.1576415,79.278459,1
17731,10921,Baripada,21,359,0,Srimaa Mahila M.V. Baripada,181733,21.25423,86.23654,1
17733,14526,Perambalur,33,483,2,Thanthai Hans Roever College of Education,181700,11.233333,78.883333,1
17734,39370,Berhampur,21,350,2,"Army A.D. College, Gopalpur",181701,19.32001,84.78001,0
17735,43392,Kolkata,19,590,0,Derozio Memorial College,181702,22.63001,88.45001,1
17736,376,Vadasma,24,135,2,Shree Satsangi Saket Dham (721) K.J. Institute of Management (SFI)-Vadasma Di:Mehsana,181705,23.410002,72.480001,0
17737,15680,PANDHARPUR,27,327,0,"BALIRAM DADA BANSODE EDUCATION COLLEGE CHALE. TAL. PANDHARPUR. DIST. SOLAPUR,  MAHARASHTRA.",181706,23.576666,68.123456,1
17738,47360,KATNI,23,289,2,"SAINA INTERNATIOAL COLLEGE, KATNI",181707,23.250001,80.42001,1
17740,18981,VAISHALI,10,58,1,"Laxmi Narayan College, Bhagwanpur, Vaishali",181709,25.00001,85.00001,1
17741,39329,Berhampur,21,350,0,"Roland Institute of Computer and Management Studies, Berhampur",181710,19.308987,84.786799,0
17743,53352,BODHAN,36,40,0,"Azaan College of Education, Rakasipet, Bodhan, Nizamabad (5292)",181713,18.678894,77.56288,1
17746,39642,Choudwar,21,366,0,"Choudhar College, Choudwar, Cuttack",181717,20.46252,85.88298,1
17749,32900,New Delhi,7,99,2,Banarasi Das Chandiwala Institute of Information Technology,181722,28.5411963,77.2656973,0
17750,16856,Bellare,29,233,0,"Dr. K. Shivarama Karanth Govt. First Grade College, Bellare - 574212",181723,28.12345,75.12345,1
17752,34944,DATIA,23,276,0,GOVT. GIRLS COLLEGE,181734,28.85214,88.23564,1
17754,15040,THENI,33,483,0,Shri V.P.R. College of Education,181736,10.009810000000002,77.37381,1
17755,17003,Mangalore,29,233,0,"St. Aloysius Evening College, Mangalore",181737,12.873056,74.845833,1
17756,34741,KAILARAS,23,276,0,"ACHARYA NARENDRA DEV COLLEGE , KAILARAS",181738,26.276084,77.587964,1
17757,5951,Ahmedabad,24,136,0,Sheth C. L. Commerce College,181740,28.00001,75.00001,0
17758,34790,GWALIOR,23,276,2,MAHARANA PRATAP COLLEGE DENTESTRY & RESEARCH CENTER,181745,26.27154,78.19745,0
