,Unnamed: 0,id,no_of_libraries,no_of_laboratories,no_of_conference_halls,no_of_health_centers,no_of_computer_centers,sum
37167,37167,164383,1.0,1.0,1.0,1.0,1.0,5.0
37168,37168,175620,1.0,1.0,1.0,0.0,1.0,4.0
37169,37169,178615,1.0,1.0,1.0,0.0,1.0,4.0
37170,37170,191752,1.0,0.0,0.0,0.0,0.0,1.0
37171,37171,206492,1.0,6.0,1.0,0.0,1.0,9.0
37172,37172,184883,1.0,25.0,3.0,1.0,1.0,31.0
37173,37173,202387,1.0,1.0,1.0,0.0,1.0,4.0
37174,37174,168448,1.0,0.0,0.0,0.0,1.0,2.0
37175,37175,175057,1.0,4.0,1.0,0.0,1.0,7.0
37176,37176,201081,1.0,1.0,1.0,1.0,1.0,5.0
37177,37177,160885,1.0,1.0,1.0,1.0,1.0,5.0
37178,37178,167477,1.0,1.0,1.0,1.0,1.0,5.0
37179,37179,195363,1.0,0.0,0.0,1.0,1.0,3.0
37180,37180,164703,1.0,1.0,1.0,0.0,1.0,4.0
37181,37181,169220,1.0,56.0,1.0,1.0,2.0,61.0
37182,37182,175362,0.0,0.0,0.0,0.0,0.0,0.0
37183,37183,167077,1.0,103.0,6.0,1.0,1.0,112.0
37184,37184,154988,1.0,1.0,1.0,0.0,0.0,3.0
37185,37185,177780,1.0,1.0,1.0,0.0,1.0,4.0
37186,37186,183446,1.0,1.0,1.0,1.0,1.0,5.0
37187,37187,161524,1.0,1.0,0.0,1.0,0.0,3.0
37188,37188,164005,1.0,1.0,1.0,1.0,1.0,5.0
37189,37189,163378,1.0,1.0,0.0,0.0,1.0,3.0
37190,37190,182168,1.0,2.0,1.0,0.0,0.0,4.0
37191,37191,159525,1.0,1.0,1.0,1.0,1.0,5.0
37192,37192,164889,1.0,1.0,1.0,1.0,1.0,5.0
37193,37193,195377,1.0,6.0,0.0,0.0,1.0,8.0
37194,37194,197641,1.0,3.0,0.0,0.0,0.0,4.0
37195,37195,179063,1.0,1.0,1.0,1.0,1.0,5.0
37196,37196,179144,1.0,81.0,8.0,1.0,1.0,92.0
37197,37197,199940,1.0,1.0,1.0,0.0,1.0,4.0
37198,37198,200995,1.0,1.0,1.0,1.0,1.0,5.0
37199,37199,156741,1.0,0.0,1.0,0.0,1.0,3.0
37200,37200,189300,1.0,1.0,1.0,1.0,1.0,5.0
37201,37201,205441,1.0,1.0,1.0,0.0,1.0,4.0
37202,37202,179450,1.0,1.0,0.0,0.0,1.0,3.0
37203,37203,161171,1.0,1.0,1.0,1.0,0.0,4.0
37204,37204,190117,1.0,1.0,1.0,1.0,1.0,5.0
37205,37205,207087,1.0,1.0,1.0,0.0,1.0,4.0
37206,37206,209899,1.0,1.0,1.0,1.0,1.0,5.0
37207,37207,187048,1.0,1.0,1.0,0.0,1.0,4.0
37208,37208,179045,1.0,1.0,1.0,1.0,1.0,5.0
37209,37209,190038,1.0,1.0,1.0,0.0,1.0,4.0
37210,37210,171939,1.0,1.0,1.0,1.0,1.0,5.0
37211,37211,168527,1.0,1.0,0.0,0.0,1.0,3.0
37212,37212,182922,1.0,4.0,1.0,0.0,1.0,7.0
37213,37213,160656,1.0,0.0,0.0,0.0,1.0,2.0
37214,37214,202133,1.0,1.0,1.0,0.0,1.0,4.0
37215,37215,158113,1.0,1.0,1.0,1.0,1.0,5.0
37216,37216,193859,1.0,1.0,1.0,1.0,1.0,5.0
37217,37217,169834,1.0,1.0,1.0,0.0,0.0,3.0
37218,37218,201270,1.0,1.0,1.0,1.0,1.0,5.0
37219,37219,184041,1.0,1.0,1.0,1.0,1.0,5.0
37220,37220,187351,0.0,0.0,0.0,0.0,0.0,0.0
37221,37221,169774,1.0,1.0,1.0,1.0,1.0,5.0
37222,37222,204763,1.0,1.0,0.0,0.0,1.0,3.0
37223,37223,199980,1.0,1.0,1.0,0.0,1.0,4.0
37224,37224,179291,1.0,30.0,1.0,1.0,2.0,35.0
37225,37225,203326,1.0,1.0,1.0,1.0,1.0,5.0
37226,37226,208684,1.0,2.0,0.0,0.0,1.0,4.0
37227,37227,156356,1.0,1.0,0.0,0.0,1.0,3.0
37228,37228,178187,6.0,73.0,4.0,1.0,9.0,93.0
37229,37229,176878,1.0,1.0,1.0,0.0,1.0,4.0
37230,37230,178765,1.0,0.0,0.0,0.0,1.0,2.0
37231,37231,186917,1.0,1.0,1.0,1.0,1.0,5.0
37232,37232,191837,1.0,1.0,1.0,1.0,1.0,5.0
37233,37233,156528,1.0,1.0,1.0,1.0,1.0,5.0
37234,37234,195571,1.0,0.0,0.0,0.0,1.0,2.0
37235,37235,183649,1.0,6.0,1.0,0.0,1.0,9.0
37236,37236,199290,1.0,1.0,0.0,0.0,0.0,2.0
37237,37237,159077,1.0,1.0,1.0,0.0,1.0,4.0
37238,37238,157137,1.0,1.0,1.0,1.0,1.0,5.0
37239,37239,181386,1.0,0.0,0.0,0.0,1.0,2.0
37240,37240,190026,1.0,0.0,0.0,0.0,0.0,1.0
37241,37241,172364,1.0,0.0,0.0,0.0,1.0,2.0
37242,37242,189293,1.0,1.0,1.0,0.0,1.0,4.0
37243,37243,156327,1.0,5.0,1.0,0.0,4.0,11.0
37244,37244,200966,1.0,2.0,1.0,0.0,1.0,5.0
37245,37245,172265,0.0,0.0,0.0,0.0,0.0,0.0
37246,37246,174518,1.0,1.0,1.0,1.0,1.0,5.0
37247,37247,189026,1.0,0.0,0.0,0.0,0.0,1.0
37248,37248,199979,1.0,7.0,1.0,1.0,1.0,11.0
37249,37249,172593,1.0,1.0,1.0,1.0,1.0,5.0
37250,37250,167532,1.0,1.0,0.0,0.0,1.0,3.0
37251,37251,170870,1.0,1.0,0.0,0.0,0.0,2.0
37252,37252,174248,1.0,9.0,1.0,0.0,4.0,15.0
37253,37253,169951,1.0,0.0,0.0,0.0,1.0,2.0
37254,37254,160226,1.0,0.0,0.0,0.0,1.0,2.0
37255,37255,164797,1.0,0.0,0.0,0.0,0.0,1.0
37256,37256,166620,1.0,4.0,1.0,0.0,1.0,7.0
37257,37257,156989,1.0,1.0,1.0,1.0,1.0,5.0
37258,37258,192599,1.0,5.0,1.0,1.0,1.0,9.0
37259,37259,162392,1.0,1.0,1.0,1.0,1.0,5.0
37260,37260,191038,1.0,1.0,1.0,1.0,1.0,5.0
37261,37261,168671,1.0,1.0,1.0,0.0,0.0,3.0
37262,37262,160906,1.0,25.0,1.0,1.0,1.0,29.0
37263,37263,180215,3.0,32.0,1.0,3.0,1.0,40.0
37264,37264,177734,1.0,1.0,0.0,0.0,1.0,3.0
37265,37265,172596,1.0,1.0,1.0,1.0,1.0,5.0
37266,37266,176290,1.0,1.0,1.0,1.0,1.0,5.0
37267,37267,170492,1.0,2.0,0.0,0.0,1.0,4.0
37268,37268,209248,0.0,0.0,0.0,0.0,0.0,0.0
37269,37269,165970,2.0,1.0,1.0,1.0,2.0,7.0
37270,37270,191686,1.0,1.0,0.0,0.0,1.0,3.0
37271,37271,155822,1.0,1.0,1.0,1.0,1.0,5.0
37272,37272,185024,2.0,4.0,4.0,1.0,1.0,12.0
37273,37273,171548,1.0,0.0,1.0,0.0,1.0,3.0
37274,37274,209332,1.0,2.0,0.0,0.0,0.0,3.0
37275,37275,175799,1.0,4.0,0.0,0.0,1.0,6.0
37276,37276,181255,1.0,1.0,1.0,0.0,1.0,4.0
37277,37277,199471,1.0,1.0,1.0,0.0,1.0,4.0
37278,37278,203118,1.0,12.0,1.0,0.0,1.0,15.0
37279,37279,175356,1.0,1.0,0.0,0.0,1.0,3.0
37280,37280,188511,1.0,5.0,1.0,0.0,1.0,8.0
37281,37281,155260,1.0,0.0,1.0,0.0,1.0,3.0
37282,37282,183257,1.0,9.0,1.0,0.0,1.0,12.0
37283,37283,184011,1.0,1.0,1.0,1.0,1.0,5.0
37284,37284,188939,1.0,1.0,1.0,1.0,1.0,5.0
37285,37285,195344,0.0,0.0,0.0,0.0,0.0,0.0
37286,37286,205940,1.0,1.0,1.0,1.0,1.0,5.0
37287,37287,174469,1.0,0.0,1.0,0.0,1.0,3.0
37288,37288,189375,2.0,1.0,3.0,1.0,2.0,9.0
37289,37289,189917,1.0,5.0,0.0,0.0,0.0,6.0
37290,37290,192050,1.0,6.0,1.0,1.0,1.0,10.0
37291,37291,207813,1.0,1.0,1.0,0.0,1.0,4.0
37292,37292,191893,1.0,14.0,1.0,0.0,1.0,17.0
37293,37293,206356,1.0,0.0,1.0,0.0,0.0,2.0
37294,37294,172810,1.0,1.0,0.0,0.0,1.0,3.0
37295,37295,173283,1.0,1.0,0.0,0.0,1.0,3.0
37296,37296,160453,1.0,1.0,1.0,1.0,1.0,5.0
37297,37297,208377,1.0,1.0,0.0,0.0,1.0,3.0
37298,37298,201194,1.0,6.0,1.0,1.0,1.0,10.0
37299,37299,174891,1.0,1.0,1.0,1.0,1.0,5.0
37300,37300,183579,1.0,1.0,0.0,0.0,1.0,3.0
37301,37301,191241,1.0,1.0,1.0,0.0,1.0,4.0
37302,37302,157772,1.0,1.0,1.0,1.0,1.0,5.0
37303,37303,188800,1.0,1.0,1.0,0.0,1.0,4.0
37304,37304,203899,1.0,1.0,1.0,1.0,1.0,5.0
37305,37305,179671,1.0,1.0,0.0,0.0,1.0,3.0
37306,37306,182223,1.0,1.0,1.0,1.0,1.0,5.0
37307,37307,207868,1.0,1.0,1.0,1.0,1.0,5.0
37308,37308,206052,1.0,1.0,1.0,0.0,1.0,4.0
37309,37309,171237,1.0,1.0,1.0,1.0,0.0,4.0
37310,37310,193858,1.0,1.0,1.0,1.0,1.0,5.0
37311,37311,162229,1.0,1.0,1.0,0.0,1.0,4.0
37312,37312,173311,1.0,3.0,1.0,0.0,1.0,6.0
37313,37313,159267,1.0,0.0,0.0,1.0,1.0,3.0
37314,37314,184587,1.0,72.0,7.0,1.0,1.0,82.0
37315,37315,200035,1.0,1.0,0.0,0.0,1.0,3.0
37316,37316,184540,1.0,1.0,1.0,1.0,1.0,5.0
37317,37317,175914,1.0,1.0,0.0,0.0,1.0,3.0
37318,37318,207327,1.0,6.0,1.0,1.0,1.0,10.0
37319,37319,171576,1.0,55.0,1.0,0.0,1.0,58.0
37320,37320,198618,1.0,25.0,3.0,0.0,0.0,29.0
37321,37321,172449,1.0,6.0,1.0,4.0,1.0,13.0
37322,37322,167559,4.0,61.0,1.0,1.0,6.0,73.0
37323,37323,180273,1.0,0.0,1.0,1.0,1.0,4.0
37324,37324,160822,1.0,1.0,1.0,0.0,1.0,4.0
37325,37325,164977,1.0,1.0,1.0,1.0,1.0,5.0
37326,37326,180548,1.0,0.0,0.0,0.0,1.0,2.0
37327,37327,209857,9.0,370.0,9.0,1.0,1.0,390.0
37328,37328,183022,1.0,5.0,1.0,0.0,1.0,8.0
37329,37329,154719,1.0,1.0,1.0,1.0,1.0,5.0
37330,37330,209828,0.0,0.0,0.0,0.0,0.0,0.0
37331,37331,185692,0.0,1.0,0.0,1.0,0.0,2.0
37332,37332,162925,1.0,0.0,0.0,0.0,1.0,2.0
37333,37333,166946,1.0,1.0,0.0,1.0,1.0,4.0
37334,37334,193167,1.0,1.0,1.0,1.0,1.0,5.0
37335,37335,201011,1.0,1.0,1.0,1.0,1.0,5.0
37336,37336,199443,1.0,1.0,1.0,0.0,1.0,4.0
37337,37337,181572,1.0,1.0,0.0,0.0,1.0,3.0
37338,37338,181343,1.0,1.0,1.0,0.0,1.0,4.0
37339,37339,187652,1.0,0.0,1.0,1.0,1.0,4.0
37340,37340,189076,1.0,1.0,1.0,0.0,1.0,4.0
37341,37341,186253,1.0,1.0,1.0,1.0,1.0,5.0
37342,37342,171532,1.0,1.0,1.0,1.0,1.0,5.0
37343,37343,172427,1.0,0.0,1.0,0.0,1.0,3.0
37344,37344,161260,1.0,1.0,1.0,0.0,1.0,4.0
37345,37345,207807,1.0,1.0,1.0,1.0,1.0,5.0
37346,37346,182167,1.0,0.0,1.0,0.0,1.0,3.0
37347,37347,157580,1.0,1.0,1.0,0.0,1.0,4.0
37348,37348,202066,1.0,1.0,1.0,1.0,1.0,5.0
37349,37349,181669,1.0,5.0,1.0,1.0,1.0,9.0
37350,37350,195007,1.0,1.0,1.0,1.0,1.0,5.0
37351,37351,194968,0.0,1.0,1.0,1.0,1.0,4.0
37352,37352,186453,1.0,1.0,1.0,1.0,1.0,5.0
37353,37353,183688,1.0,6.0,1.0,0.0,1.0,9.0
37354,37354,167965,1.0,1.0,1.0,0.0,1.0,4.0
37355,37355,209073,1.0,3.0,0.0,0.0,0.0,4.0
37356,37356,184519,1.0,4.0,1.0,1.0,1.0,8.0
37357,37357,185300,1.0,2.0,1.0,1.0,1.0,6.0
37358,37358,166326,1.0,64.0,1.0,1.0,2.0,69.0
37359,37359,185301,1.0,1.0,0.0,0.0,1.0,3.0
37360,37360,186292,1.0,0.0,0.0,0.0,1.0,2.0
37361,37361,182719,1.0,0.0,0.0,0.0,0.0,1.0
37362,37362,198546,1.0,1.0,1.0,0.0,1.0,4.0
37363,37363,185075,1.0,2.0,0.0,0.0,1.0,4.0
37364,37364,162299,1.0,7.0,0.0,1.0,1.0,10.0
37365,37365,175868,1.0,1.0,1.0,1.0,1.0,5.0
37366,37366,176809,1.0,5.0,1.0,0.0,1.0,8.0
37367,37367,184292,1.0,1.0,1.0,1.0,1.0,5.0
37368,37368,167075,1.0,1.0,0.0,0.0,1.0,3.0
37369,37369,170795,1.0,1.0,1.0,1.0,1.0,5.0
37370,37370,166369,1.0,0.0,1.0,1.0,1.0,4.0
37371,37371,162733,1.0,0.0,1.0,0.0,1.0,3.0
37372,37372,196438,1.0,4.0,1.0,0.0,1.0,7.0
37373,37373,209202,1.0,5.0,1.0,1.0,1.0,9.0
37374,37374,179557,1.0,1.0,0.0,0.0,1.0,3.0
37375,37375,190879,1.0,1.0,1.0,1.0,1.0,5.0
37376,37376,169286,1.0,1.0,0.0,0.0,1.0,3.0
37377,37377,178475,1.0,5.0,1.0,0.0,2.0,9.0
37378,37378,171228,1.0,1.0,1.0,1.0,1.0,5.0
37379,37379,203927,1.0,0.0,0.0,0.0,1.0,2.0
